"","FeedingType","Type","Mean","Median"
"1","insectivorous","Pred",-0.19768531886863,-0.155625491649087
"2","piscivorous","Pred",7.71223438647515,7.97246601597457
"3","planktivorous","Pred",-2.8444155291803,-3.83506196429202
"4","predacious","Pred",4.77986971956941,6.4118182677099
"5","predacious/piscivorous","Pred",6.06403752213459,6.38012253689976
"6","insectivorous","Prey",-2.97649490953736,-2.97649490953736
"7","piscivorous","Prey",1.63552827510992,1.63552827510992
"8","planktivorous","Prey",-12.2973266641226,-12.2973266641226
"9","predacious","Prey",-3.3992920045753,-3.3992920045753
"10","predacious/piscivorous","Prey",2.41088614444964,2.41088614444964
"11","insectivorous","Ratio",-2.77880959066873,-2.6155823718929
"12","piscivorous","Ratio",-6.07670611136523,-5.61677109766657
"13","planktivorous","Ratio",-9.45291113494234,-9.82552601106642
"14","predacious","Ratio",-8.1791617241447,-8.29090937545023
"15","predacious/piscivorous","Ratio",-3.65315137768494,-3.71028336277709
